File,CHQ,Summary,NewSum,ExtractedSummary
1-131188152.xml.txt,"SUBJECT: who and where to get cetirizine - D
MESSAGE: I need/want to know who manufscturs Cetirizine. My Walmart is looking for a new supply and are not getting the recent",Who manufactures cetirizine?,"
The health question is: ""Who and where to get cetirizine?""",Who and where to get cetirizine?
14348.txt,"who makes bromocriptine
i am wondering what company makes the drug bromocriptine, i need it for a mass i have on my pituitary gland and the cost just keeps raising. i cannot ever buy a full prescription because of the price and i was told if i get a hold of the maker of the drug sometimes they offer coupons or something to help me afford the medicine. if i buy 10 pills in which i have to take 2 times a day it costs me 78.00. and that is how i have to buy them.  thanks.",Who manufactures bromocriptine?,"
You can see that the health question is delimited by triple backquotes and is a one-line question. It is asking for information about the company that makes the drug ""bromocriptine"".",bromocriptine
1-131985747.xml.txt,"SUBJECT: nulytely
MESSAGE: Hello can you tell me where do i order the nulytely who is the manufacture, what phone number can i call. thanks.","Who makes nulytely, and where can I buy it?","
The health question can be summarized as follows:

""Where can I order the nulytely and what is the manufacturer's phone number?""",Where can I order the nulytely and what is the manufacturer's phone number?
35.txt,"ClinicalTrials.gov - Question - general information. Both my parents died in [LOCATION] TX with multiple myeloma, father in 70's and mother 84 years old.   the attending oncologist advised that I should be tested every few years. I was unaware of a genetic test for MM I am 63 yr old female, in good health, and where could I get the genetic test for MM and approx cost for testing?","Where can I get genetic testing for multiple myeloma, and what is the cost?","
(i) The health question can be summarized as: ""Should I be tested for multiple myeloma genetic mutations?""

(ii) The health question is wrapped with a double quote: `""Should I be tested for multiple myeloma genetic mutations?""`",Should I be tested for multiple myeloma genetic mutations?
21.txt,"Genetic Test for IHHS heart condition. Is there a commercial genetic test for the IHHS heart condition?  My family suffers from this heridity condition and I would like to know who is susseptable.   If so, where could I get it done in [LOCATION] Texas?",Where can I get genetic testing for IHSS in Texas?,"(i) The health question can be summarized as: ""Is there a commercial genetic test for the IHHS heart condition?""
(ii) The question is wrapped with a double quote to indicate that it is a complete sentence.

Here is the summary:
```""Is there a commercial genetic test for the IHHS heart condition?""```",Is there a commercial genetic test for the IHHS heart condition?
1-136003557.xml.txt,"SUBJECT: Friedreich's ataxia
MESSAGE: I have been told I have Friedreich's ataxia.  I am looking for a treatment to reverse it.
I has to do with the chromosome number 9 defective in both of my parents and possible
damage to chromosome number 10.  Would you be able to tell me if number 9 is defective in me.","Where can I get genetic testing for friedreich's, and what are the treatments for it?","(i) The health question can be summarized as: ""Is my chromosome number 9 defective?""
(ii) The question is wrapped with a double quote to indicate that it is a complete sentence.",Is my chromosome number 9 defective?
1-136779597.xml.txt,"SUBJECT: CPTII Deficiency
MESSAGE: My sister in Texas was just diagnosed with CPTII deficiency today.  We do not yet know which variant.  I was told a year ago following her near death from rhabdo (CK's 150,000+), ATN, RF, respiratory compromise, to be tested for a FA metabolic error.  Until today, I really had no idea which test to request.  Her muscle bx was performed a few months ago as she was still ill last year.  Another recurrence of rhado this year prompted the bx (she is retired military).  I don't know which branch of medicine to contact for genetic testing. From  the NIH website, muscle bx is the most definitive.  I also found a phone number for the Genetics and Rare Diseases Information Center.  Thank you for some direction.",Where can I get genetic testing for CPTII deficiency?,"
Here is the health question in a one-liner format:

""What are the most common symptoms and diagnostic tests for Carnitine Palmitoyltransferase II (CPTII) deficiency, and which genetic variants are associated with this condition?""

Note: The double quotes are used to enclose the entire question, and the single quotes are used to delimit the question within the double quotes.","What are the most common symptoms and diagnostic tests for Carnitine Palmitoyltransferase II (CPTII) deficiency, and which genetic variants are associated with this condition?"
1-133677895.xml.txt,"SUBJECT: trying to loss 50 before July.
MESSAGE: I am trying to loss 50 pounds before July, the problem is I work 16 hours a day. Don't have time to do anything else. Is there a deit pills or shake that I can use to help me? Also my problem area is stomach, waist, butt and hip. Please help.",Where can I find information on weight loss pills?,"
(i) The health question is: ""Can you recommend a diet pill or shake that can help me lose 50 pounds in 2 months while working 16 hours a day?""

(ii) The question is wrapped with double quotes to enclose the text within the quotes.",Can you recommend a diet pill or shake that can help me lose 50 pounds in 2 months while working 16 hours a day?
4.txt,ClinicalTrials.gov - Question - specific study. my son is 17 years old he has omental panniculitis (weber cristian disease) can your institute help me to suggest what is this disear and how it care   if you need i can send the full detail,"Where can I find information on weber christian disease, including treatment for it?","
(i) The health question can be summarized as: ""What is Weber-Cristian disease (omental panniculitis) and how can it be treated?""

(ii) The question is wrapped in double quotes to indicate that it is a complete sentence.",What is Weber-Cristian disease (omental panniculitis) and how can it be treated?
10391.xml.txt,"stomach pain.
 My son of 13y is facing upper abdominal pain siverly in the mornig time and slightly after eating lunch and in the night time after dinner.kindly i went five doctors and ultra scan also but problem not resolved.pls advaice me what to do.","Where can I find information on upper abdominal pain, including diagnosis and treatment?","(i) The health question can be summarized as: ""What can be done to address the persistent stomach pain experienced by a 13-year-old boy, despite visiting five doctors and undergoing an ultrasound?""

(ii) The health question is wrapped in double quotes to indicate that it is a complete and coherent question.","What can be done to address the persistent stomach pain experienced by a 13-year-old boy, despite visiting five doctors and undergoing an ultrasound?"
