Reference_Text,Ground_Truth,Predicted_Summary
"SUBJECT: who and where to get cetirizine - D
MESSAGE: I need/want to know who manufscturs Cetirizine. My Walmart is looking for a new supply and are not getting the recent",Who manufactures cetirizine?,Who and where to get cetirizine?
"who makes bromocriptine
i am wondering what company makes the drug bromocriptine, i need it for a mass i have on my pituitary gland and the cost just keeps raising. i cannot ever buy a full prescription because of the price and i was told if i get a hold of the maker of the drug sometimes they offer coupons or something to help me afford the medicine. if i buy 10 pills in which i have to take 2 times a day it costs me 78.00. and that is how i have to buy them.  thanks.",Who manufactures bromocriptine?,bromocriptine
"SUBJECT: nulytely
MESSAGE: Hello can you tell me where do i order the nulytely who is the manufacture, what phone number can i call. thanks.","Who makes nulytely, and where can I buy it?",Where can I order the nulytely and what is the manufacturer's phone number?
"ClinicalTrials.gov - Question - general information. Both my parents died in [LOCATION] TX with multiple myeloma, father in 70's and mother 84 years old.   the attending oncologist advised that I should be tested every few years. I was unaware of a genetic test for MM I am 63 yr old female, in good health, and where could I get the genetic test for MM and approx cost for testing?","Where can I get genetic testing for multiple myeloma, and what is the cost?",Should I be tested for multiple myeloma genetic mutations?
"Genetic Test for IHHS heart condition. Is there a commercial genetic test for the IHHS heart condition?  My family suffers from this heridity condition and I would like to know who is susseptable.   If so, where could I get it done in [LOCATION] Texas?",Where can I get genetic testing for IHSS in Texas?,Is there a commercial genetic test for the IHHS heart condition?
"SUBJECT: Friedreich's ataxia
MESSAGE: I have been told I have Friedreich's ataxia.  I am looking for a treatment to reverse it.
I has to do with the chromosome number 9 defective in both of my parents and possible
damage to chromosome number 10.  Would you be able to tell me if number 9 is defective in me.","Where can I get genetic testing for friedreich's, and what are the treatments for it?",Is my chromosome number 9 defective?
"SUBJECT: CPTII Deficiency
MESSAGE: My sister in Texas was just diagnosed with CPTII deficiency today.  We do not yet know which variant.  I was told a year ago following her near death from rhabdo (CK's 150,000+), ATN, RF, respiratory compromise, to be tested for a FA metabolic error.  Until today, I really had no idea which test to request.  Her muscle bx was performed a few months ago as she was still ill last year.  Another recurrence of rhado this year prompted the bx (she is retired military).  I don't know which branch of medicine to contact for genetic testing. From  the NIH website, muscle bx is the most definitive.  I also found a phone number for the Genetics and Rare Diseases Information Center.  Thank you for some direction.",Where can I get genetic testing for CPTII deficiency?,"What are the most common symptoms and diagnostic tests for Carnitine Palmitoyltransferase II (CPTII) deficiency, and which genetic variants are associated with this condition?"
"SUBJECT: trying to loss 50 before July.
MESSAGE: I am trying to loss 50 pounds before July, the problem is I work 16 hours a day. Don't have time to do anything else. Is there a deit pills or shake that I can use to help me? Also my problem area is stomach, waist, butt and hip. Please help.",Where can I find information on weight loss pills?,Can you recommend a diet pill or shake that can help me lose 50 pounds in 2 months while working 16 hours a day?
ClinicalTrials.gov - Question - specific study. my son is 17 years old he has omental panniculitis (weber cristian disease) can your institute help me to suggest what is this disear and how it care   if you need i can send the full detail,"Where can I find information on weber christian disease, including treatment for it?",What is Weber-Cristian disease (omental panniculitis) and how can it be treated?
"stomach pain.
 My son of 13y is facing upper abdominal pain siverly in the mornig time and slightly after eating lunch and in the night time after dinner.kindly i went five doctors and ultra scan also but problem not resolved.pls advaice me what to do.","Where can I find information on upper abdominal pain, including diagnosis and treatment?","What can be done to address the persistent stomach pain experienced by a 13-year-old boy, despite visiting five doctors and undergoing an ultrasound?"
